,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,id,3,3,left,left,thumb,thumb,1,2,1,1,0.069537
1,i,hamming_distance,maximum_curvature,id,3,3,left,left,thumb,thumb,1,2,2,2,0.080818
2,i,hamming_distance,maximum_curvature,id,3,3,left,left,index,index,1,2,1,1,0.053812
3,i,hamming_distance,maximum_curvature,id,3,3,left,left,index,index,1,2,2,2,0.073138
4,i,hamming_distance,maximum_curvature,id,3,3,left,left,middle,middle,1,2,1,1,0.073238
5,i,hamming_distance,maximum_curvature,id,3,3,left,left,middle,middle,1,2,2,2,0.075222
6,i,hamming_distance,maximum_curvature,id,3,3,left,left,little,little,1,2,1,1,0.077992
7,i,hamming_distance,maximum_curvature,id,3,3,left,left,little,little,1,2,2,2,0.060694
8,i,hamming_distance,maximum_curvature,id,3,3,left,left,ring,ring,1,2,1,1,0.077693
9,i,hamming_distance,maximum_curvature,id,3,3,left,left,ring,ring,1,2,2,2,0.068983
10,i,hamming_distance,maximum_curvature,id,3,3,right,right,thumb,thumb,1,2,1,1,0.081871
11,i,hamming_distance,maximum_curvature,id,3,3,right,right,thumb,thumb,1,2,2,2,0.079976
12,i,hamming_distance,maximum_curvature,id,3,3,right,right,index,index,1,2,1,1,0.086215
13,i,hamming_distance,maximum_curvature,id,3,3,right,right,index,index,1,2,2,2,0.079621
14,i,hamming_distance,maximum_curvature,id,3,3,right,right,middle,middle,1,2,1,1,0.074712
15,i,hamming_distance,maximum_curvature,id,3,3,right,right,middle,middle,1,2,2,2,0.067165
16,i,hamming_distance,maximum_curvature,id,3,3,right,right,little,little,1,2,1,1,0.079776
17,i,hamming_distance,maximum_curvature,id,3,3,right,right,little,little,1,2,2,2,0.092099
18,i,hamming_distance,maximum_curvature,id,3,3,right,right,ring,ring,1,2,1,1,0.076806
19,i,hamming_distance,maximum_curvature,id,3,3,right,right,ring,ring,1,2,2,2,0.070335
20,i,hamming_distance,maximum_curvature,id,5,5,left,left,thumb,thumb,1,2,1,1,0.071044
21,i,hamming_distance,maximum_curvature,id,5,5,left,left,thumb,thumb,1,2,2,2,0.071144
22,i,hamming_distance,maximum_curvature,id,5,5,left,left,little,little,1,2,1,1,0.066035
23,i,hamming_distance,maximum_curvature,id,5,5,left,left,little,little,1,2,2,2,0.057702
24,i,hamming_distance,maximum_curvature,id,5,5,left,left,ring,ring,1,2,1,1,0.055142
25,i,hamming_distance,maximum_curvature,id,5,5,left,left,ring,ring,1,2,2,2,0.066456
26,i,hamming_distance,maximum_curvature,id,5,5,right,right,thumb,thumb,1,2,1,1,0.067764
27,i,hamming_distance,maximum_curvature,id,5,5,right,right,thumb,thumb,1,2,2,2,0.075332
28,i,hamming_distance,maximum_curvature,id,5,5,right,right,index,index,1,2,1,1,0.063918
29,i,hamming_distance,maximum_curvature,id,5,5,right,right,index,index,1,2,2,2,0.055929
30,i,hamming_distance,maximum_curvature,id,5,5,right,right,middle,middle,1,2,1,1,0.062866
31,i,hamming_distance,maximum_curvature,id,5,5,right,right,middle,middle,1,2,2,2,0.064583
32,i,hamming_distance,maximum_curvature,id,5,5,right,right,little,little,1,2,1,1,0.07121
33,i,hamming_distance,maximum_curvature,id,5,5,right,right,little,little,1,2,2,2,0.072296
34,i,hamming_distance,maximum_curvature,id,5,5,right,right,ring,ring,1,2,1,1,0.051562
35,i,hamming_distance,maximum_curvature,id,5,5,right,right,ring,ring,1,2,2,2,0.057724
